
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-04-06 10:06:49 / ........................................................................................ ~ 6s
  2026-04-06 10:06:55 /login ................................................................................... ~ 3s
  2026-04-06 10:06:58 /api/internal/cameras .................................................................... ~ 1s
  2026-04-06 10:07:16 /api/internal/cameras .............................................................. ~ 676.54ms
  2026-04-06 10:07:32 /api/internal/cameras .............................................................. ~ 115.02ms
  2026-04-06 10:07:47 /api/internal/cameras .............................................................. ~ 513.53ms
  2026-04-06 10:08:03 /api/internal/cameras .................................................................... ~ 8s
  2026-04-06 10:08:26 /api/internal/cameras .................................................................... ~ 1s
  2026-04-06 10:08:26 / .................................................................................. ~ 545.80ms
  2026-04-06 10:08:29 /login ................................................................................... ~ 1s
  2026-04-06 10:08:43 /api/internal/cameras .................................................................... ~ 3s
  2026-04-06 10:08:47 /favicon.ico ............................................................................. ~ 1s
  2026-04-06 10:09:02 /api/internal/cameras .................................................................... ~ 8s
  2026-04-06 10:09:31 /api/internal/cameras .............................................................. ~ 545.97ms
  2026-04-06 10:09:47 /api/internal/cameras .............................................................. ~ 648.72ms
  2026-04-06 10:09:49 /login ................................................................................... ~ 6s
  2026-04-06 10:09:49 /dashboard ............................................................................... ~ 7s
  2026-04-06 10:10:02 /api/internal/cameras ................................................................ ~ 1.04ms
  2026-04-06 10:10:04 /gate .............................................................................. ~ 772.21ms
  2026-04-06 10:10:05 /frames/cam_1.jpg?t=1775448605 ........................................................... ~ 1s
  2026-04-06 10:10:05 /snapshots/cam_1_20260405_185836_030.jpg ............................................. ~ 5.70ms
  2026-04-06 10:10:05 /snapshots/cam_1_20260405_185835_084.jpg ........................................... ~ 580.81ms
  2026-04-06 10:10:05 /snapshots/cam_1_20260405_185833_544.jpg ........................................... ~ 586.84ms
  2026-04-06 10:10:06 /api/detections/report ............................................................. ~ 559.20ms
  2026-04-06 10:10:05 /snapshots/cam_1_20260405_185831_840.jpg ................................................. ~ 1s
  2026-04-06 10:10:06 /api/detections/latest ................................................................... ~ 1s
  2026-04-06 10:10:05 /snapshots/cam_1_20260405_185830_776.jpg ................................................. ~ 2s
  2026-04-06 10:10:06 /snapshots/cam_1_20260405_185827_759.jpg ................................................. ~ 1s
  2026-04-06 10:10:06 /snapshots/cam_1_20260405_185824_999.jpg ................................................. ~ 1s
  2026-04-06 10:10:07 /frames/cam_1.jpg?t=1775448605752 ........................................................ ~ 1s
  2026-04-06 10:10:08 /frames/cam_1.jpg?t=1775448606780 ................................................... ~ 15.49ms
  2026-04-06 10:10:08 /snapshots/cam_1_20260405_185823_888.jpg ............................................ ~ 21.43ms
  2026-04-06 10:10:08 /frames/cam_1.jpg?t=1775448607814 ................................................... ~ 17.19ms
  2026-04-06 10:10:08 /api/detections/latest ............................................................. ~ 502.38ms
  2026-04-06 10:10:08 /frames/cam_1.jpg?t=1775448608753 .................................................. ~ 509.21ms
  2026-04-06 10:10:09 /frames/cam_1.jpg?t=1775448609755 .................................................... ~ 0.73ms
  2026-04-06 10:10:10 /frames/cam_1.jpg?t=1775448610756 .................................................... ~ 1.12ms
  2026-04-06 10:10:10 /api/detections/report ............................................................. ~ 582.74ms
  2026-04-06 10:10:11 /api/detections/latest ............................................................. ~ 588.20ms
  2026-04-06 10:10:11 /frames/cam_1.jpg?t=1775448611761 .................................................. ~ 612.75ms
  2026-04-06 10:10:12 /frames/cam_1.jpg?t=1775448612760 .................................................... ~ 0.92ms
  2026-04-06 10:10:13 /frames/cam_1.jpg?t=1775448613761 .................................................... ~ 1.50ms
  2026-04-06 10:10:14 /frames/cam_1.jpg?t=1775448614760 .................................................... ~ 2.35ms
  2026-04-06 10:10:14 /api/detections/latest ............................................................. ~ 512.80ms
  2026-04-06 10:10:15 /frames/cam_1.jpg?t=1775448615758 .................................................. ~ 218.38ms
  2026-04-06 10:10:15 /api/detections/report ............................................................. ~ 516.04ms
  2026-04-06 10:10:16 /frames/cam_1.jpg?t=1775448616754 .................................................... ~ 1.24ms
  2026-04-06 10:10:17 /api/detections/latest ............................................................... ~ 0.86ms
  2026-04-06 10:10:17 /frames/cam_1.jpg?t=1775448617753 .................................................... ~ 5.61ms
  2026-04-06 10:10:18 /api/internal/cameras .............................................................. ~ 506.59ms
  2026-04-06 10:10:18 /frames/cam_1.jpg?t=1775448618774 ................................................... ~ 64.36ms
  2026-04-06 10:10:19 /frames/cam_1.jpg?t=1775448619759 .................................................... ~ 1.26ms
  2026-04-06 10:10:20 /frames/cam_1.jpg?t=1775448620753 .................................................. ~ 389.93ms
  2026-04-06 10:10:20 /api/detections/report ............................................................. ~ 953.44ms
  2026-04-06 10:10:20 /api/detections/latest ............................................................. ~ 514.91ms
  2026-04-06 10:10:21 /frames/cam_1.jpg?t=1775448621765 .................................................... ~ 0.35ms
  2026-04-06 10:10:22 /frames/cam_1.jpg?t=1775448622762 .................................................. ~ 244.37ms
  2026-04-06 10:10:23 /frames/cam_1.jpg?t=1775448623774 .................................................. ~ 566.47ms
  2026-04-06 10:10:23 /api/detections/latest ............................................................. ~ 861.49ms
  2026-04-06 10:10:26 /api/detections/report ................................................................... ~ 1s
  2026-04-06 10:10:26 /frames/cam_1.jpg?t=1775448624762 ........................................................ ~ 2s
  2026-04-06 10:10:26 /frames/cam_1.jpg?t=1775448625760 ........................................................ ~ 4s
  2026-04-06 10:10:29 /api/detections/latest ................................................................... ~ 1s
  2026-04-06 10:10:26 /frames/cam_1.jpg?t=1775448626761 ........................................................ ~ 5s
