
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-04-05 18:16:35 /login ................................................................................... ~ 1s
  2026-04-05 18:17:31 /api/internal/cameras .................................................................... ~ 1s
  2026-04-05 18:17:37 /login ................................................................................... ~ 1s
  2026-04-05 18:17:41 /api/internal/cameras .............................................................. ~ 532.83ms
  2026-04-05 18:17:44 /login ................................................................................... ~ 3s
  2026-04-05 18:17:48 /api/internal/cameras .................................................................... ~ 1s
  2026-04-05 18:17:49 /camera-config ........................................................................... ~ 1s
  2026-04-05 18:18:04 /api/internal/cameras .................................................................... ~ 1s
  2026-04-05 18:18:21 /api/internal/cameras .............................................................. ~ 508.43ms
  2026-04-05 18:18:37 /api/internal/cameras .................................................................... ~ 1s
  2026-04-05 18:18:51 /dashboard/ ........................................................................ ~ 570.87ms
  2026-04-05 18:18:53 /api/internal/cameras .................................................................... ~ 1s
  2026-04-05 18:18:51 /gate .................................................................................... ~ 3s
  2026-04-05 18:18:54 /frames/cam_1.jpg?t=1775391535 ........................................................... ~ 1s
  2026-04-05 18:18:55 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:18:56 /api/detections/latest ............................................................. ~ 532.88ms
  2026-04-05 18:18:56 /frames/cam_1.jpg?t=1775391535412 .................................................. ~ 540.42ms
  2026-04-05 18:18:56 /frames/cam_1.jpg?t=1775391536428 .................................................... ~ 4.97ms
  2026-04-05 18:18:57 /frames/cam_1.jpg?t=1775391537422 .................................................... ~ 0.56ms
  2026-04-05 18:18:58 /frames/cam_1.jpg?t=1775391538416 .................................................... ~ 0.87ms
  2026-04-05 18:18:58 /api/detections/latest ............................................................. ~ 501.28ms
  2026-04-05 18:18:59 /frames/cam_1.jpg?t=1775391539424 .................................................... ~ 1.29ms
  2026-04-05 18:18:59 /frames/cam_2.jpg?t=1775391539802 .................................................. ~ 110.83ms
  2026-04-05 18:19:00 /api/detections/report ............................................................... ~ 1.26ms
  2026-04-05 18:19:00 /frames/cam_2.jpg?t=1775391540816 .................................................... ~ 0.26ms
  2026-04-05 18:19:01 /api/detections/latest ............................................................. ~ 516.33ms
  2026-04-05 18:19:01 /frames/cam_3.jpg .................................................................. ~ 549.82ms
  2026-04-05 18:19:02 /frames/cam_3.jpg .................................................................. ~ 501.28ms
  2026-04-05 18:19:03 /frames/cam_3.jpg .................................................................. ~ 580.87ms
  2026-04-05 18:19:04 /api/detections/latest ............................................................. ~ 516.29ms
  2026-04-05 18:19:04 /frames/cam_3.jpg .................................................................. ~ 508.51ms
  2026-04-05 18:19:05 /api/detections/report ............................................................. ~ 511.57ms
  2026-04-05 18:19:06 /frames/cam_3.jpg .................................................................. ~ 562.05ms
  2026-04-05 18:19:06 /frames/cam_3.jpg .................................................................. ~ 507.95ms
  2026-04-05 18:19:07 /api/detections/latest ............................................................. ~ 504.35ms
  2026-04-05 18:19:07 /frames/cam_3.jpg .................................................................. ~ 509.72ms
  2026-04-05 18:19:08 /frames/cam_3.jpg .................................................................. ~ 546.87ms
  2026-04-05 18:19:09 /api/internal/cameras .............................................................. ~ 546.11ms
  2026-04-05 18:19:09 /frames/cam_3.jpg .................................................................. ~ 504.79ms
  2026-04-05 18:19:10 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:19:11 /api/detections/latest ............................................................. ~ 520.20ms
  2026-04-05 18:19:11 /frames/cam_3.jpg ........................................................................ ~ 1s
  2026-04-05 18:19:12 /frames/cam_3.jpg .................................................................. ~ 547.45ms
  2026-04-05 18:19:12 /frames/cam_3.jpg ........................................................................ ~ 1s
  2026-04-05 18:19:13 /api/detections/latest ................................................................... ~ 2s
  2026-04-05 18:19:14 /frames/cam_3.jpg ........................................................................ ~ 1s
  2026-04-05 18:19:15 /frames/cam_3.jpg ........................................................................ ~ 1s
  2026-04-05 18:19:16 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:19:16 /frames/cam_3.jpg ........................................................................ ~ 1s
  2026-04-05 18:19:17 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:19:18 /frames/cam_3.jpg ........................................................................ ~ 1s
  2026-04-05 18:19:19 /frames/cam_3.jpg ........................................................................ ~ 1s
  2026-04-05 18:19:20 /frames/cam_3.jpg ........................................................................ ~ 1s
  2026-04-05 18:19:21 /api/internal/alert ...................................................................... ~ 7s
  2026-04-05 18:19:21 /api/detections/latest ................................................................... ~ 7s
  2026-04-05 18:19:28 /frames/cam_3.jpg ........................................................................ ~ 2s
  2026-04-05 18:19:29 /api/detections/report ................................................................... ~ 2s
  2026-04-05 18:19:31 /frames/cam_3.jpg ........................................................................ ~ 2s
  2026-04-05 18:19:32 /frames/cam_3.jpg ........................................................................ ~ 2s
  2026-04-05 18:19:33 /frames/cam_3.jpg ........................................................................ ~ 2s
  2026-04-05 18:19:34 /frames/cam_3.jpg ........................................................................ ~ 2s
  2026-04-05 18:19:36 /api/internal/cameras .................................................................... ~ 2s
  2026-04-05 18:19:37 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:19:42 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:19:46 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:19:47 /api/internal/cameras .................................................................... ~ 1s
  2026-04-05 18:19:49 /api/internal/alert ................................................................ ~ 548.88ms
  2026-04-05 18:19:52 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:19:55 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:20:04 /api/internal/cameras .................................................................... ~ 1s
  2026-04-05 18:20:10 /api/internal/alert ................................................................ ~ 515.45ms
  2026-04-05 18:20:14 /api/internal/alert ................................................................ ~ 516.52ms
  2026-04-05 18:20:16 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:20:18 /api/internal/alert ................................................................ ~ 514.94ms
  2026-04-05 18:20:20 /api/internal/cameras .............................................................. ~ 515.09ms
  2026-04-05 18:20:34 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:20:35 /api/internal/cameras .............................................................. ~ 579.20ms
  2026-04-05 18:20:37 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:20:40 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:20:43 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:20:45 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:20:48 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:20:50 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:20:51 /api/internal/cameras .............................................................. ~ 521.32ms
  2026-04-05 18:20:53 /api/internal/alert ...................................................................... ~ 2s
  2026-04-05 18:21:05 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:21:07 /api/internal/cameras .................................................................... ~ 1s
  2026-04-05 18:21:15 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:21:17 /api/internal/alert ................................................................ ~ 528.88ms
  2026-04-05 18:21:20 /api/internal/alert ...................................................................... ~ 3s
  2026-04-05 18:21:24 /api/internal/cameras .................................................................... ~ 2s
  2026-04-05 18:21:30 /api/internal/alert ...................................................................... ~ 2s
  2026-04-05 18:21:32 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:21:32 /api/detections/latest ................................................................... ~ 2s
  2026-04-05 18:21:32 /frames/cam_1.jpg?t=1775391535 ........................................................... ~ 2s
  2026-04-05 18:21:33 /frames/cam_1.jpg?t=1775391691357 ........................................................ ~ 1s
  2026-04-05 18:21:35 /frames/cam_1.jpg?t=1775391692387 ................................................... ~ 13.73ms
  2026-04-05 18:21:35 /frames/cam_1.jpg?t=1775391693359 .................................................. ~ 538.50ms
  2026-04-05 18:21:35 /snapshots/cam_1_20260405_182130_002.jpg ........................................... ~ 543.44ms
  2026-04-05 18:21:35 /snapshots/cam_1_20260405_182120_880.jpg ........................................... ~ 539.83ms
  2026-04-05 18:21:35 /snapshots/cam_1_20260405_182117_288.jpg ........................................... ~ 542.85ms
  2026-04-05 18:21:35 /snapshots/cam_1_20260405_182050_434.jpg ............................................ ~ 16.69ms
  127.0.0.1:57481 [404]: GET /frames/cam_1.jpg?t=1775391695359 - No such file or directory
  2026-04-05 18:21:35 /snapshots/cam_1_20260405_182047_973.jpg ........................................... ~ 572.60ms
  2026-04-05 18:21:35 /snapshots/cam_1_20260405_182115_051.jpg ........................................... ~ 578.72ms
  2026-04-05 18:21:35 .................................................................................... ~ 565.12ms
  2026-04-05 18:21:35 /snapshots/cam_1_20260405_182105_897.jpg ........................................... ~ 580.49ms
  2026-04-05 18:21:35 /snapshots/cam_1_20260405_182053_432.jpg ........................................... ~ 578.96ms
  2026-04-05 18:21:36 /favicon.ico ....................................................................... ~ 526.35ms
  2026-04-05 18:21:36 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:21:38 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:21:36 /frames/cam_1.jpg?t=1775391696358 ........................................................ ~ 2s
  2026-04-05 18:21:38 /frames/cam_1.jpg?t=1775391697363 ........................................................ ~ 1s
  2026-04-05 18:21:39 /frames/cam_1.jpg?t=1775391698360 ................................................... ~ 10.82ms
  2026-04-05 18:21:39 /frames/cam_1.jpg?t=1775391699374 .................................................... ~ 0.52ms
  2026-04-05 18:21:39 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:21:41 /api/detections/latest ............................................................. ~ 597.25ms
  2026-04-05 18:21:41 /frames/cam_1.jpg?t=1775391700364 .................................................. ~ 610.21ms
  2026-04-05 18:21:44 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:21:44 /api/internal/cameras .................................................................... ~ 3s
  2026-04-05 18:21:44 /frames/cam_1.jpg?t=1775391701358 ........................................................ ~ 3s
  2026-04-05 18:21:46 /frames/cam_1.jpg ........................................................................ ~ 2s
  2026-04-05 18:21:49 /api/detections/latest ................................................................... ~ 1s
